name,hazardous,min_diameter_km,max_diameter_km,velocity_kph,miss_distance_km,orbiting_body
7889 (1994 LX),False,2.3257068746,5.2004386672,79524.4267869001,18765853.899210032,Venus
7977 (1977 QQ5),False,2.4691926561,5.5212826285,50310.7781873483,11462293.906863462,Mars
8013 Gordonmoore (1990 KA),False,1.0152078719,2.2700738128,5008.3183384848,293254206.5159276,Juptr
8014 (1990 MF),True,0.4451998164,0.9954970531,35954.6943440319,6682779.246328761,Earth
8034 Akka (1992 LR),False,0.6615382752,1.4792445531,28149.2000217475,23369938.338990152,Earth
8035 (1992 TB),False,1.0012786977,2.2389272325,77903.2203736385,53379342.47901329,Earth
8037 (1993 HO1),False,1.2547435637,2.8056919027,10120.1909698916,74341119.68101263,Earth
8176 (1991 WA),False,1.0533070151,2.3552660868,103111.5442246398,6453389.507699002,Venus
8201 (1994 AH2),False,1.7240703244,3.8551384433,56344.2221354962,11059359.359354304,Venus
8507 (1991 CB1),False,0.9606274149,2.1480282008,68102.695427684,20976082.99199106,Venus
8566 (1996 EN),True,1.3506877983,3.0202297334,83657.1643503005,3837113.752999631,Earth
8567 (1996 HW1),False,2.2519304668,5.0354696043,22579.5901942416,18277980.912428867,Earth
8709 Kadlu (1994 JF1),False,1.0246014747,2.2910785472,13313.1526897833,40912108.90337231,Earth
9058 (1992 JB),False,0.7320739893,1.6369672047,41120.9097432257,14499308.285414513,Earth
9162 Kwiila (1987 OA),False,0.6615382752,1.4792445531,73803.9402051948,19593715.377097048,Earth
9172 Abhramu (1989 OB),False,1.2489785407,2.7928009194,19330.8163124354,71663715.11003578,Earth
9202 (1993 PB),False,1.5942446807,3.5648394788,118404.0035546087,16633119.6147247,Venus
9400 (1994 TW1),False,2.8612445378,6.3979372868,71602.856090199,13046609.580626557,Mars
9856 (1991 EE),True,1.0059003902,2.249261651,50560.3546376738,9138971.322646862,Earth
9950 ESA (1990 VB),False,1.5224918504,3.4043952726,44442.4724986648,66953853.38233073,Earth
10115 (1992 SK),True,1.0105434154,2.2596437711,31328.3156392855,7517055.795036902,Mars
10145 (1994 CK1),False,1.0581688593,2.3661375011,39649.8823466533,11150117.529763987,Venus
10150 (1994 PN),False,2.1505769,4.8088361393,0.0,0.0,UNKNOWN
10165 (1995 BL2),False,0.8965096664,2.0046565566,77773.437152177,17620265.409734424,Venus
10302 (1989 ML),False,0.3424167308,0.7656670868,9037.125964194,12793676.174095558,Earth
10563 Izhdubar (1993 WD),False,1.0878148336,2.4324279148,125743.8823540567,44011497.36583051,Earth
10636 (1998 QK56),False,0.7701139256,1.7220270881,41798.9910852925,18147207.57072202,Earth
10860 (1995 LE),False,1.0484675089,2.3444446221,33750.6875748693,11188312.79809324,Mars
11054 (1991 FA),False,1.0246014747,2.2910785472,16176.8602334511,20153895.432197835,Earth
11066 Sigurd (1992 CC1),False,2.4129869692,5.395602892,79379.793964247,21553474.222196203,Earth
11284 Belenus (1990 BA),False,0.5923180627,1.3244634524,32584.5829156284,14302316.553576404,Mars
11311 Peleus (1993 XN2),False,1.8904055193,4.2270752462,56891.2763300112,19119177.783804275,Earth
11398 (1998 YP11),False,1.4078454339,3.1480380919,36383.0388594451,29870182.40820591,Earth
11405 (1999 CV3),False,2.4019003012,5.3708123486,56544.5252784892,18442573.96428491,Earth
11500 Tomaiyowit (1989 UR),True,0.5630603897,1.2590413069,34216.0603313347,13961678.373880932,Earth
11885 Summanus (1990 SS),False,0.5254785303,1.1750057146,38581.7433705036,39801430.03428757,Earth
12538 (1998 OH),True,1.7004151927,3.8022439609,53378.54421732,16101185.043699889,Earth
12711 Tukmit (1991 BB),False,1.6464743776,3.6816286314,69293.7843271495,57617397.22334667,Earth
12923 Zephyr (1999 GK4),True,1.8388867207,4.1118757104,49649.1020606282,27827973.86391964,Earth
13553 Masaakikoyama (1992 JE),False,1.3078410858,2.9244215717,38226.1573908918,61229102.14175575,Earth
13651 (1997 BR),True,0.7023522477,1.57050737,51786.2078456162,21090464.7903635,Earth
14402 (1991 DB),False,0.4683332331,1.0472249454,63520.7719791143,69317250.00460634,Earth
14827 Hypnos (1986 JK),True,0.4597851883,1.028110936,25598.7154233324,141189149.83391255,Juptr
15745 Yuliya (1991 PM5),False,0.876102615,1.9590250023,25969.5614199177,47658064.6765829,Earth
15817 Lucianotesi (1994 QC),False,0.5377184977,1.2023751136,25639.2410347306,37532547.89517862,Earth
16064 Davidharvey (1999 RH27),False,1.128638801,2.523713081,26948.2064183553,282807827.28621763,Juptr
16636 (1993 QP),False,0.4661814374,1.0424133839,13362.3549198291,73207578.51744515,Earth
16657 (1993 UB),False,1.3018321019,2.9109850751,0.0,0.0,UNKNOWN
16816 (1997 UF9),False,1.5085335612,3.3731835891,85921.4876132894,58737408.45635562,Earth
16834 (1997 WU22),False,1.8817198949,4.2076535996,48039.5480003183,28767353.821987506,Earth
16912 Rhiannon (1998 EP8),False,0.6959130436,1.5561088719,47489.4299132658,8365932.617143859,Mars
16960 (1998 QS52),True,3.5200998005,7.8711824416,29447.7245623338,248012802.6635555,Juptr
17181 (1999 UM3),False,1.1763998937,2.6305101311,19769.9207307181,168438513.58906168,Juptr
17182 (1999 VU),False,0.9920989194,2.2184006242,48045.3710499814,29112432.186142873,Earth
17188 (1999 WC2),False,1.3949382293,3.1191767052,67794.1609952423,25910753.9660237,Earth
17274 (2000 LC16),False,1.1234531767,2.5121176727,14997.7892737736,211728115.2283267,Juptr
17511 (1992 QN),False,0.9131770255,2.0419259045,54323.1265075474,29732068.972208582,Earth
18106 Blume (2000 NX3),False,0.7388477866,1.6521138758,17993.1510932702,33074858.285403937,Earth
18109 (2000 NG11),False,0.9695159909,2.167903661,7747.6801457175,28809322.965863675,Earth
18172 (2000 QL7),False,1.9344387205,4.3255364773,20133.1827212307,72586693.65130982,Earth
18736 (1998 NU),False,1.6848256925,3.7673847787,4402.8112091483,74422215.35491858,Earth
18882 (1999 YN4),False,1.5651464359,3.4997738255,0.0,0.0,UNKNOWN
19356 (1997 GH3),False,1.0533070151,2.3552660868,29134.6217564034,21794151.71850894,Earth
19764 (2000 NF5),False,1.5942446807,3.5648394788,3035.1965895872,296722733.4821288,Juptr
20086 (1994 LW),False,1.2261821132,2.7418265579,27372.6823455675,158928761.22293857,Juptr
20236 (1998 BZ7),True,0.7665755735,1.7141150923,41031.8721519818,10181490.51492071,Earth
20255 (1998 FX2),False,0.5426939457,1.2135005535,58421.0456657816,61214850.62587126,Earth
20425 (1998 VD35),True,0.2101623793,0.4699373665,51970.594687807,11271381.323829396,Earth
20429 (1998 YN1),False,0.7560577624,1.6905965516,36174.6183290087,23764995.3020217,Earth
20460 Robwhiteley (1999 LO28),False,2.1905591097,4.898239078,67006.7232809926,12646806.131496286,Mars
20790 (2000 SE45),False,1.2489785407,2.7928009194,36751.654428647,71535914.53232221,Earth
20826 (2000 UV13),False,4.5139316282,10.0934579665,31444.3230638176,186440801.73877114,Juptr
21088 Chelyabinsk (1992 BL2),False,3.5690692667,7.9806814968,66474.2800150823,14756412.719917703,Mars
21277 (1996 TO5),False,1.5436718218,3.4517551284,55834.2412572308,5000363.677248716,Mars
21374 (1997 WS22),False,0.8640820365,1.9321461716,33456.1542717704,13420538.731759496,Mars
22099 (2000 EX106),False,0.6405528629,1.4323197447,34602.846132528,60874853.14393343,Earth
22753 (1998 WT),True,0.77366861,1.729975604,63892.5680456161,11361539.621740166,Venus
22771 (1999 CU3),False,1.0778416872,2.4101272816,63335.8215929156,13303041.662462818,Earth
23183 (2000 OY21),False,1.6313794097,3.6478752572,97855.7249036747,68418842.95835917,Earth
23187 (2000 PN9),True,1.6313794097,3.6478752572,105322.615626956,21810885.332332894,Earth
23548 (1994 EF2),False,0.930154254,2.0798881414,78048.3241738098,73587789.028823,Earth
23606 (1996 AS1),False,0.5578982211,1.2474983468,45578.0910379712,54342076.98335514,Earth
23714 (1998 EC3),False,1.133848361,2.5353620113,36057.4488360338,27986565.498024896,Earth
24443 (2000 OG),False,1.3821493588,3.0905799213,86533.6616865785,10419707.978979807,Mars
24445 (2000 PM8),False,3.0517923259,6.824015094,65867.750904695,27118250.36252396,Earth
24475 (2000 VN2),False,1.3949382293,3.1191767052,30952.9864002544,26833235.94708784,Earth
24761 Ahau (1993 BW2),False,0.8923905787,1.9954459964,41062.6074397187,50411396.58433338,Earth
25143 Itokawa (1998 SF36),True,0.3737274319,0.8356799428,18978.3650928352,5987213.148797547,Earth
25330 (1999 KV4),False,1.1927652464,2.6671041722,27298.3342580324,37113083.336546585,Earth
25916 (2001 CP44),False,4.6833323314,10.4722494541,15214.7554513012,276193888.58148545,Juptr
26166 (1995 QN3),False,1.1496217629,2.5706324102,0.0,0.0,UNKNOWN
26310 (1998 TX6),False,0.3703010782,0.828018383,43363.1278873631,54513092.451287724,Earth
26379 (1999 HZ1),False,0.6089126221,1.3615700154,50513.5340231101,16642486.027124122,Venus
26663 (2000 XK47),True,0.6173834405,1.3805113411,88351.3118561663,59407252.59140053,Earth
26760 (2001 KP41),False,2.1113244479,4.7210649881,22735.7052771675,251936309.73999226,Juptr
26817 (1987 QB),False,0.3361669212,0.7516920875,28871.6195926171,279960546.15085226,Juptr
27002 (1998 DV9),True,0.5788352575,1.2943149835,27315.7988971788,2265439.652763656,Earth
27031 (1998 RO4),False,0.7023522477,1.57050737,26872.4295366837,10855105.757951936,Mars
27346 (2000 DN8),False,1.7723723926,3.9631451512,72318.8385761148,67907833.53899848,Earth
29075 (1950 DA),True,0.930154254,2.0798881414,56518.8781434862,12513833.282226404,Earth
30825 (1990 TG1),False,3.0377706139,6.7926615927,27192.8720183048,231791138.90045217,Juptr
30997 (1995 UO5),False,0.9344476509,2.0894884689,0.0,0.0,UNKNOWN
31210 (1998 BX7),False,1.3949382293,3.1191767052,7551.1528621915,240426215.3941996,Juptr
31221 (1998 BP26),False,0.9474471126,2.118556149,0.0,0.0,UNKNOWN
31345 (1998 PG),False,0.7953439404,1.7784431163,0.0,0.0,UNKNOWN
31346 (1998 PB1),False,0.9830033019,2.1980622051,22005.6531182722,26580545.188301984,Earth
31662 (1999 HP11),False,0.3285148278,0.7345814866,95401.3675040572,50886203.229395345,Earth
31669 (1999 JT6),True,1.6089960451,3.5978245324,44770.8747003559,26204068.490161452,Earth
32906 (1994 RH),False,1.6464743776,3.6816286314,20795.8892226427,68783409.39216007,Earth
33342 (1998 WT24),True,0.6615382752,1.4792445531,91401.5390412103,9529364.8712769,Merc
34613 (2000 UR13),False,1.6089960451,3.5978245324,32574.4229956236,4404233.129697174,Mars
35107 (1991 VH),True,1.1131532961,2.4890864394,32471.6798877984,15268898.460818276,Earth
35396 (1997 XF11),True,1.0533070151,2.3552660868,33023.409954212,14803973.323541714,Venus
35432 (1998 BG9),False,0.3520099801,0.7871182442,41157.0281212254,69157190.26188427,Earth
35670 (1998 SU27),False,0.3240074354,0.7245026508,40124.7642940276,13939008.537057938,Earth
36017 (1999 ND43),False,0.3669061375,0.8204270649,26867.8226674644,20035522.676809326,Earth
36183 (1999 TX16),False,1.4606796427,3.2661789745,77049.9206260168,20535816.340902768,Earth
36236 (1999 VV),False,1.7161489408,3.8374256911,0.0,0.0,UNKNOWN
36284 (2000 DM8),False,2.6094860325,5.8349881551,121477.010616148,2649242.308195957,Venus
37336 (2001 RM),False,1.85590173,4.1499224279,74349.6918019873,51471475.03603549,Earth
37638 (1993 VB),True,0.3703010782,0.828018383,34603.697237761,12516468.343987945,Earth
37655 Illapa (1994 PM),True,0.7154099509,1.599705282,121443.082131479,15910810.594123786,Venus
38071 (1999 GU3),True,0.3240074354,0.7245026508,12774.0485366792,272449444.5006392,Juptr
38086 Beowulf (1999 JB),False,0.900647767,2.0139096308,76560.1102278529,61449393.20329403,Earth
38091 (1999 JT3),False,1.4606796427,3.2661789745,0.0,0.0,UNKNOWN
38239 (1999 OR3),False,0.573528464,1.2824486324,12393.046543144,268927065.41287374,Juptr
39565 (1992 SL),False,0.5402004935,1.207925025,22272.2157165434,23243075.41080617,Earth
39572 (1993 DQ1),True,1.3018321019,2.9109850751,30042.7715280733,12551178.490578955,Earth
39796 (1997 TD),False,1.9433676839,4.3455022465,0.0,0.0,UNKNOWN
40263 (1999 FQ5),False,0.7354530894,1.644523102,51730.2885916469,68407871.01673955,Earth
40267 (1999 GJ4),False,2.0727884338,4.6348958409,122816.6037065743,29728121.054499708,Earth
40329 (1999 ML),False,0.7630534787,1.7062394488,9925.8980597114,58418670.52220072,Earth
41429 (2000 GE2),True,0.1961349444,0.4385710684,51524.4368126966,12728919.699229296,Venus
41440 (2000 HZ23),False,0.2809020939,0.6281161771,25695.1900701217,69148730.90625001,Earth
42286 (2001 TN41),False,1.2547435637,2.8056919027,60207.9901225988,70989834.12134828,Earth
48603 (1995 BC2),False,0.7253622947,1.6219593992,46909.7807890381,55861580.89087922,Earth
52340 (1992 SY),False,0.6376097899,1.4257388333,32843.5239377479,15306192.132704612,Earth
52381 (1993 HA),False,0.2573682542,0.5754929116,23750.9056581633,70783425.08391538,Earth
52387 Huitzilopochtli (1993 OM7),False,0.742258153,1.659739687,43911.741750305,71777390.43246713,Earth
52689 (1998 FF2),False,0.3967847541,0.8872376825,24226.0696016772,13026588.059936384,Mars
52750 (1998 KK17),False,1.2318419127,2.7544822542,56009.1762625486,45153199.18296523,Earth
52760 (1998 ML14),True,0.8366715019,1.8708543531,36742.6282874591,13958599.126123788,Earth
52761 (1998 MN14),False,0.6800721287,1.5206875095,36278.3795406048,29095801.97436667,Earth
52762 (1998 MT24),False,2.9010484143,6.4869414603,73088.1142995661,36995267.92298255,Earth
52768 (1998 OR2),True,1.6617090174,3.7156943217,13979.6363885129,184008866.7625963,Juptr
53110 (1999 AR7),False,1.1982708007,2.6794149658,75523.5030015817,65581372.58594651,Earth
53319 (1999 JM8),True,2.2519304668,5.0354696043,29334.6272512337,274440099.13559884,Juptr
53409 (1999 LU7),False,0.477040198,1.0666943108,45968.7941452346,16076193.148738755,Venus
53426 (1999 SL5),True,0.9695159909,2.167903661,74905.1458091546,73978660.34817046,Earth
